Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 79,Gone with the Wind,"Margaret Mitchell, Margaret Mitchell","Classics, Fiction, Historical, Historical Fiction, Literature, Romance, War"
Knjiga 80,The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim, Milan Kundera","Classics, Czech Literature, Fiction, Literature, Novels, Philosophy, Romance"
Knjiga 81,The Name of the Rose,"Umberto Eco, William Weaver, Umberto Eco","Classics, Fiction, Historical, Historical Fiction, Italy, Literature, Mystery"
Knjiga 82,On the Road,"Jack Kerouac, Jack Kerouac","Adventure, American, Classics, Fiction, Literature, Novels, Travel"
Knjiga 83,Where the Red Fern Grows,"Wilson Rawls, Wilson Rawls","Childrens, Classics, Fiction, Historical Fiction, Middle Grade, School, Young Adult"
Knjiga 84,The Godfather,"Mario Puzo, Robert Thompson, Peter Bart, Mario Puzo","Classics, Crime, Fiction, Historical Fiction, Mystery, Novels, Thriller"
Knjiga 85,In Cold Blood,"Truman Capote, Truman Capote","Book Club, Classics, Crime, History, Mystery, Nonfiction, True Crime"
Knjiga 86,Catching Fire,"Suzanne Collins, Suzanne Collins","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 87,The Song of Achilles,"Madeline Miller, Madeline Miller","Fantasy, Fiction, Historical Fiction, LGBT, Mythology, Queer, Romance"
Knjiga 88,The Scarlet Letter,"Nathaniel Hawthorne, Nina Baym, Thomas E. Connolly, Nathaniel Hawthorne","Classics, Fiction, High School, Historical, Historical Fiction, Literature, School"
Knjiga 89,American Gods: Tenth Anniversary,"Neil Gaiman, Neil Gaiman","Audiobook, Fantasy, Fiction, Mythology, Science Fiction, Science Fiction Fantasy, Urban Fantasy"
Knjiga 90,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Antoine de Saint-Exupéry","Childrens, Classics, Fantasy, Fiction, France, Philosophy, Young Adult"
Knjiga 91,The Five People You Meet in Heaven,"Mitch Albom, Mitch Albom","Book Club, Classics, Contemporary, Fantasy, Fiction, Inspirational, Spirituality"
Knjiga 92,Watchmen,"Alan             Moore, Dave Gibbons, John    Higgins, Alan             Moore","Classics, Comics, Fantasy, Fiction, Graphic Novels, Graphic Novels Comics, Science Fiction"
Knjiga 93,The Divine Comedy: Inferno - Purgatorio - Paradiso,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale, Dante Alighieri","Classics, Fantasy, Fiction, Literature, Philosophy, Poetry, Religion"
Knjiga 94,All Quiet on the Western Front,"Erich Maria Remarque, Arthur Wesley Wheen, Erich Maria Remarque","Classics, Fiction, Historical, Historical Fiction, Literature, School, War"
Knjiga 95,The Cat in the Hat,"Dr. Seuss, Dr. Seuss","Childrens, Classics, Fantasy, Fiction, Humor, Picture Books, Poetry"
Knjiga 96,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman, Terry Pratchett","Audiobook, Book Club, Comedy, Fantasy, Fiction, Humor, Urban Fantasy"
Knjiga 97,Lonesome Dove,"Larry McMurtry, Larry McMurtry","Adventure, Audiobook, Classics, Fiction, Historical, Historical Fiction, Westerns"
Knjiga 98,The Little House Collection,"Laura Ingalls Wilder, Laura Ingalls Wilder","Childrens, Classics, Fiction, Historical, Historical Fiction, Middle Grade, Young Adult"
Knjiga 99,"Hush, Hush","Becca Fitzpatrick, Becca Fitzpatrick","Angels, Fantasy, Fiction, Paranormal, Paranormal Romance, Romance, Young Adult"
Knjiga 100,Peter Pan,"J.M. Barrie, Michael Hague, J.M. Barrie","Adventure, Audiobook, Childrens, Classics, Fantasy, Fiction, Young Adult"
Knjiga 101,Jane Eyre,"Charlotte Brontë, Michael Mason, Charlotte Brontë","Classics, Fiction, Gothic, Historical, Historical Fiction, Literature, Romance"
Knjiga 102,The Titan’s Curse,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 103,The Battle of the Labyrinth,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 104,Throne of Glass,"Sarah J. Maas, Sarah J. Maas","Audiobook, Fantasy, Fiction, Magic, Romance, Romantasy, Young Adult"
Knjiga 105,A Court of Mist and Fury,"Sarah J. Maas, Sarah J. Maas","Audiobook, Fae, Fantasy, Fiction, Romance, Romantasy, Young Adult"
Knjiga 106,The Sea of Monsters,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 107,Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman, Kjell Risvik, Gabriel García Márquez","Book Club, Classics, Fiction, Historical Fiction, Literature, Magical Realism, Romance"
Knjiga 108,Insurgent,"Veronica Roth, Veronica Roth","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 109,A Walk to Remember,"Nicholas Sparks, Nicholas Sparks","Adult, Chick Lit, Contemporary, Contemporary Romance, Fiction, Romance, Young Adult"
Knjiga 110,The Addiction Manifesto,"Jerry Weaver, J.R.  Weaver, Jerry Weaver","Addiction, Classics, Memoir, Mental Health, Nonfiction, Psychology, Self Help"
Knjiga 111,Clockwork Princess,"Cassandra Clare, Cassandra Clare","Fantasy, Historical Fiction, Paranormal, Romance, Steampunk, Urban Fantasy, Young Adult"
Knjiga 112,Pride and Prejudice,"Jane Austen, Anna Quindlen, Jane Austen, Natalie Jenner","Audiobook, Classics, Fiction, Historical, Historical Fiction, Literature, Romance"
Knjiga 113,The Great Gatsby,"F. Scott Fitzgerald, F. Scott Fitzgerald","Classics, Fiction, Historical Fiction, Literature, Novels, Romance, School"
Knjiga 114,How the Grinch Stole Christmas!,"Dr. Seuss, Dr. Seuss","Childrens, Christmas, Classics, Fantasy, Fiction, Picture Books, Poetry"
Knjiga 115,The Thorn Birds,"Colleen McCullough, Colleen McCullough","Australia, Classics, Fiction, Historical, Historical Fiction, Historical Romance, Romance"
Knjiga 116,American Psycho,"Bret Easton Ellis, Bret Easton Ellis","Classics, Contemporary, Crime, Fiction, Horror, Novels, Thriller"
Knjiga 117,The Maze Runner,"James Dashner, James Dashner","Adventure, Audiobook, Dystopia, Fantasy, Fiction, Science Fiction, Young Adult"
Knjiga 118,The Ultimate Hitchhiker’s Guide to the Galaxy,"Douglas Adams, Douglas Adams","Classics, Comedy, Fantasy, Fiction, Humor, Science Fiction, Science Fiction Fantasy"
Knjiga 119,The Seven Husbands of Evelyn Hugo,"Taylor Jenkins Reid, Taylor Jenkins Reid","Audiobook, Book Club, Contemporary, Fiction, Historical Fiction, LGBT, Romance"
Knjiga 120,Their Eyes Were Watching God,"Zora Neale Hurston, Zora Neale Hurston","African American, Book Club, Classics, Fiction, Historical Fiction, Literature, School"
Knjiga 121,Shadow Kiss,"Richelle Mead, Richelle Mead","Fantasy, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 122,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 123,The Compleat Works of Wllm Shkspr,"Reduced Shakespeare Company, Daniel Singer, Jess Winfield, Reduced Shakespeare Company","Classics, Drama, Fiction, Humor, Plays, Shakespeare, Theatre"
Knjiga 124,Crime and Punishment,"Fyodor Dostoevsky, David McDuff, Joseph Frank, Fyodor Dostoevsky","Classics, Fiction, Literature, Novels, Philosophy, Russia, Russian Literature"
Knjiga 125,The Importance of Being Earnest,"Oscar Wilde, Oscar Wilde","Classics, Drama, Fiction, Humor, Literature, Plays, School"
Knjiga 126,The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow, L. Frank Baum","Adventure, Audiobook, Childrens, Classics, Fantasy, Fiction, Young Adult"
Knjiga 127,Atonement,"Ian McEwan, Ian McEwan","Book Club, Classics, Fiction, Historical, Historical Fiction, Romance, War"
Knjiga 128,The Three Musketeers,"Alexandre Dumas, Richard Pevear, John      Lee, Alexandre Dumas","Adventure, Classics, Fiction, France, Historical, Historical Fiction, Literature"
Knjiga 129,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, Susan Massotty, Anne Frank","Biography, Classics, Historical, History, Holocaust, Memoir, Nonfiction"
Knjiga 130,The Lorax,"Dr. Seuss, Dr. Seuss","Childrens, Classics, Environment, Fantasy, Fiction, Picture Books, Poetry"
Knjiga 131,"Eat, Pray, Love","Elizabeth Gilbert, Elizabeth Gilbert","Biography, Book Club, Chick Lit, Memoir, Nonfiction, Romance, Travel"
Knjiga 132,The Hunger Games Trilogy Boxset,"Suzanne Collins, Guillaume Fournier, Pilar Ramírez Tello, Suzanne Collins","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 133,Goodnight Moon,"Margaret Wise Brown, Clement Hurd, Margaret Wise Brown","Animals, Childrens, Classics, Fiction, Kids, Picture Books, Poetry"
Knjiga 134,The Virgin Suicides,"Jeffrey Eugenides, Jeffrey Eugenides","Classics, Coming Of Age, Contemporary, Fiction, Literary Fiction, Mental Health, Young Adult"
Knjiga 135,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 136,A Midsummer Night’s Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, William Shakespeare","Classics, Drama, Fantasy, Fiction, Plays, School, Shakespeare"
Knjiga 137,Murder on the Orient Express,"Agatha Christie, Agatha Christie","Agatha Christie, Audiobook, Classics, Crime, Fiction, Mystery, Mystery Thriller"
Knjiga 138,Room,"Emma Donoghue, Emma Donoghue","Adult, Adult Fiction, Audiobook, Book Club, Contemporary, Fiction, Thriller"
Knjiga 139,Bridge to Terabithia,"Katherine Paterson, Katherine Paterson","Childrens, Classics, Fantasy, Fiction, Middle Grade, Realistic Fiction, Young Adult"
Knjiga 140,Frostbite,"Richelle Mead, Richelle Mead","Fantasy, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 141,The Selection,"Kiera Cass, Kiera Cass","Audiobook, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 142,Heart of Darkness,"Joseph Conrad, Joseph Conrad","Africa, Classics, Fiction, Historical Fiction, Literature, Novels, School"
Knjiga 143,Tess of the D’Urbervilles,"Thomas Hardy, Margaret R. Higonnet, Tim Dolin, Thomas Hardy","19th Century, Classics, Fiction, Historical Fiction, Literature, Romance, Victorian"
Knjiga 144,The Night Circus,"Erin Morgenstern, Erin Morgenstern","Book Club, Fantasy, Fiction, Historical Fiction, Magic, Magical Realism, Romance"
Knjiga 145,The Call of the Wild,"Jack London, Avi, Jack London","Adventure, Animals, Classics, Fiction, Historical Fiction, Literature, Young Adult"
Knjiga 146,Alice’s Adventures in Wonderland / Through the Looking-Glass,"Lewis Carroll, Martin Gardner, John Tenniel, Lewis Carroll","Adventure, Childrens, Classics, Fantasy, Fiction, Literature, Young Adult"
Knjiga 147,The Prophet,"Kahlil Gibran, Kahlil Gibran","Classics, Fiction, Literature, Philosophy, Poetry, Religion, Spirituality"
Knjiga 148,Blood Promise,"Richelle Mead, Richelle Mead","Fantasy, Paranormal, Paranormal Romance, Romance, Urban Fantasy, Vampires, Young Adult"
Knjiga 149,Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke, Jane Carruth","Adventure, Childrens, Classics, Fantasy, Fiction, Literature, Young Adult"
Knjiga 150,The Joy Luck Club,"Amy Tan, Amy Tan","Book Club, China, Classics, Contemporary, Fiction, Historical, Historical Fiction"
Knjiga 151,The Good Earth,"Pearl S. Buck, Stephanie Reents, Cynthia Brantley Johnson, Pearl S. Buck","Book Club, China, Classics, Fiction, Historical, Historical Fiction, Literature"
Knjiga 152,"Oh, the Places You’ll Go!","Dr. Seuss, Dr. Seuss","Childrens, Classics, Fantasy, Fiction, Picture Books, Poetry, Young Adult"
Knjiga 153,The Phantom Tollbooth,"Norton Juster, Jules Feiffer, Maurice Sendak, Norton Juster","Adventure, Childrens, Classics, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 154,The Neverending Story,"Michael Ende, Ralph Manheim, Michael Ende","Adventure, Childrens, Classics, Fantasy, Fiction, German Literature, Young Adult"
Knjiga 155,Madame Bovary,"Gustave Flaubert, Mark Overstall, Malcolm Bowie, Gustave Flaubert","19th Century, Classics, Fiction, France, French Literature, Literature, Romance"
Knjiga 156,Oliver Twist,"Charles Dickens, Philip Horne, Charles Dickens","19th Century, Classic Literature, Classics, Fiction, Historical Fiction, Literature, Novels"
Knjiga 157,Divergent,"Veronica Roth, Veronica Roth","Adventure, Dystopia, Fantasy, Fiction, Romance, Science Fiction, Young Adult"
Knjiga 158,Treasure Island,"Robert Louis Stevenson, N.C. Wyeth, Robert Louis Stevenson","Adventure, Childrens, Classics, Fiction, Historical Fiction, Pirates, Young Adult"
Knjiga 159,A Storm of Swords,"George R.R. Martin, George R.R. Martin","Adult, Audiobook, Epic Fantasy, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy"
Knjiga 160,The Mists of Avalon,"Marion Zimmer Bradley, Marion Zimmer Bradley","Arthurian, Classics, Fantasy, Fiction, Historical, Historical Fiction, Mythology"
Knjiga 161,The Boy in the Striped Pajamas,"John Boyne, John Boyne","Classics, Fiction, Historical, Historical Fiction, Holocaust, War, Young Adult"
Knjiga 162,Jurassic Park,"Michael Crichton, Michael Crichton","Adventure, Classics, Fantasy, Fiction, Horror, Science Fiction, Thriller"
Knjiga 163,Jonathan Livingston Seagull,"Richard Bach, Russell Munson, Richard Bach","Classics, Fantasy, Fiction, Inspirational, Philosophy, Self Help, Spirituality"
Knjiga 164,Ulysses,"James Joyce, Morris L. Ernst, John M. Woolsey, James Joyce","20th Century, Classics, Fiction, Ireland, Irish Literature, Literature, Novels"
Knjiga 165,Fifty Shades of Grey,"E.L. James, E.L. James","Adult, BDSM, Contemporary, Contemporary Romance, Erotica, Fiction, Romance"
Knjiga 166,Beloved,"Toni Morrison, Toni Morrison","Classics, Fiction, Historical, Historical Fiction, Literature, Magical Realism, School"
Knjiga 167,The Lost Hero,"Rick Riordan, Rick Riordan","Adventure, Fantasy, Fiction, Middle Grade, Mythology, Percy Jackson, Young Adult"
Knjiga 168,Les Misérables,"Victor Hugo, Norman MacAfee, Charles E. Wilbour, Victor Hugo","Classics, Fiction, France, French Literature, Historical, Historical Fiction, Literature"
Knjiga 169,The Clan of the Cave Bear,"Jean M. Auel, Jean M. Auel","Adventure, Classics, Fantasy, Fiction, Historical, Historical Fiction, Romance"
Knjiga 170,The Wasp Factory,"Iain Banks, Iain Banks","Classics, Contemporary, Fiction, Horror, Mystery, Scotland, Thriller"
Knjiga 171,Cinder,"Marissa Meyer, Marissa Meyer","Dystopia, Fantasy, Fiction, Retellings, Romance, Science Fiction, Young Adult"
Knjiga 172,"Girl, Interrupted","Susanna Kaysen, Susanna Kaysen","Biography, Classics, Memoir, Mental Health, Mental Illness, Nonfiction, Psychology"
Knjiga 173,A Little Princess,"Frances Hodgson Burnett, U.C. Knoepflmacher, Frances Hodgson Burnett","Childrens, Classics, Fiction, Historical, Historical Fiction, Middle Grade, Young Adult"
Knjiga 174,A Farewell to Arms,"Ernest Hemingway, Ernest Hemingway","Classics, Fiction, Historical Fiction, Literature, Novels, Romance, War"
